scan_idx,x,y,z,a,b,c,d
269,0.0044547560923087525,-0.5099805343546753,0.0,0.02138987894503247,0.37787373504460087,0.9256100223323859,-0.4573011519837569
270,0.0074015699914319185,-0.5089461859171395,0.0,0.02138987894503247,0.37787373504460087,0.9256100223323859,-0.4573011519837569
271,0.010356869006348088,-0.5088946243205237,0.0,0.02138987894503247,0.37787373504460087,0.9256100223323859,-0.4573011519837569
272,0.01331181877807,-0.5088259023268779,0.0,0.02138987894503247,0.37787373504460087,0.9256100223323859,-0.4573011519837569
273,0.016234362668591407,-0.5077405458899336,0.0,0.02138987894503247,0.37787373504460087,0.9256100223323859,-0.4573011519837569
257,-0.02399897582507076,-0.3932684125055404,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
258,-0.021659768940293093,-0.3924026753942552,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
259,-0.019331426291929223,-0.3915230362570671,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
260,-0.017014033027454762,-0.390629651628006,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
261,-0.01474538026343303,-0.3907218650290298,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
262,-0.012476230271561787,-0.39080090292767694,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
263,-0.010206659569675806,-0.39086676265871645,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
264,-0.00793674468979659,-0.39091944200129725,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
265,-0.005666562175551647,-0.3909589391790233,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
266,-0.003387502528323433,-0.38998527365611035,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
267,-0.0011228213829893995,-0.38999836937370985,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
268,0.0011418976249193307,-0.3899983139858747,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
269,0.003406578126984857,-0.38998510749447274,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
270,0.005700226604585198,-0.39195854293418503,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
271,0.007996561025428204,-0.3929186433078516,0.0,0.0016686070989354598,-0.26479674204141174,0.9643028057382201,-0.34829955916701577
